mon1_BertzCT,mon1_LabuteASA,mon1_MolMR,monomer1(wt%),mon2_MolWt,mon2_HeavyAtomMolWt,mon2_TPSA,monomer2(wt%),initiator1(wt%),ini2_NumValenceElectrons,ini2_Ipc,ini2_HeavyAtomCount,initiator2(wt%),Young's modulus(MPa)
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,5,84.58,308808.4381,14.36,0,0
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,0
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,1
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,1
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,1.5
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,2.9
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,3
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,15,84.58,308808.4381,14.36,0,6
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,15,84.58,308808.4381,14.36,0,7.3
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,8.5
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,8.8
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,15,84.58,308808.4381,14.36,0,8.9
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,15,83.4,308808.4381,14.14,0,9
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,15,84.58,308808.4381,14.36,0,9.3
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,15,84.58,308808.4381,14.36,0,9.3
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,9.3
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,11.9
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,12.6
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,5,84.58,308808.4381,14.36,0,19
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,19.8
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,20
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,20
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,20
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,5,84.58,308808.4381,14.36,0,20.6
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,20.6
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,25
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,15,84.58,308808.4381,14.36,0,25.8
265.7368282,125.5122185,74.401,40,49.06959,54.2607,32.3742,60,15,88.66,1.48826E+12,20.08,0,30
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,32.4
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,33
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,33
265.7368282,125.5122185,74.401,40,49.06959,54.2607,32.3742,60,15,88.66,1.48826E+12,20.08,0,35.8
265.7368282,125.5122185,74.401,40,49.06959,54.2607,32.3742,60,15,88.66,1.48826E+12,20.08,0,36
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,38.5
265.7368282,125.5122185,74.401,40,49.06959,54.2607,32.3742,60,15,88.66,1.48826E+12,20.08,0,43
265.7368282,125.5122185,74.401,40,49.06959,54.2607,32.3742,60,15,88.66,1.48826E+12,20.08,0,55
265.7368282,125.5122185,74.401,80,50.83123,55.22216,33.726,20,5,84.58,308808.4381,14.36,0,70.4
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,5,84.58,308808.4381,14.36,0,109.7
265.7368282,125.5122185,74.401,80,60.084,60.084,34.14,20,5,84.58,308808.4381,14.36,0,110
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,114.8
265.7368282,125.5122185,74.401,95,60.084,60.084,34.14,5,5,83.4,308808.4381,14.14,0,115
